0,1,2
金华,上饶,{'weight': 0.0869234368499999}
重庆,深圳,{'weight': 0.0796876436699999}
恩施土家族苗族自治州,武汉,{'weight': 0.0786084774299999}
杭州,上饶,{'weight': 0.0753240481199999}
东莞,茂名,{'weight': 0.0739868353199998}
广州,郴州,{'weight': 0.0727184870999999}
深圳,茂名,{'weight': 0.0725766965999999}
深圳,长沙,{'weight': 0.0693019783799999}
兰州,平凉,{'weight': 0.06736339404}
广州,南宁,{'weight': 0.0672950348999999}
东莞,河源,{'weight': 0.0664058962799999}
深圳,湛江,{'weight': 0.0661051692}
上海,阜阳,{'weight': 0.0660762675899999}
上海,芜湖,{'weight': 0.0651324248099999}
清远,东莞,{'weight': 0.06481520451}
苏州,宿迁,{'weight': 0.0620218530899999}
郑州,上海,{'weight': 0.0618539392799999}
青岛,济宁,{'weight': 0.05997179898}
佛山,湛江,{'weight': 0.0599381783099999}
镇江,无锡,{'weight': 0.0597965190299999}
长春,白山,{'weight': 0.0581259337199999}
上海,宣城,{'weight': 0.0579932581499999}
合肥,苏州,{'weight': 0.0579489454799999}
广州,武汉,{'weight': 0.0571758272099999}
兰州,西宁,{'weight': 0.0558696406499999}
成都,深圳,{'weight': 0.0553665666599999}
杭州,无锡,{'weight': 0.0546646036499999}
武汉,潜江,{'weight': 0.0530623523699999}
保定,邢台,{'weight': 0.0529770763799999}
深圳,武汉,{'weight': 0.0524418542999999}
南昌,鹰潭,{'weight': 0.0520764665399999}
南昌,新余,{'weight': 0.0519261645599999}
杭州,宣城,{'weight': 0.05171496597}
保定,唐山,{'weight': 0.0516743906399999}
淮北,合肥,{'weight': 0.0514667098799999}
淄博,临沂,{'weight': 0.0514299391199999}
芜湖,铜陵,{'weight': 0.05094289017}
厦门,三明,{'weight': 0.0506287616399998}
福州,龙岩,{'weight': 0.0502401941099999}
清远,深圳,{'weight': 0.04955017455}
长沙,上海,{'weight': 0.0488194994699999}
北京,聊城,{'weight': 0.0483677381699998}
滁州,扬州,{'weight': 0.0479775222899999}
上海,南昌,{'weight': 0.0473848776899999}
株洲,萍乡,{'weight': 0.0472923740699999}
石家庄,承德,{'weight': 0.0472267049399999}
郑州,武汉,{'weight': 0.0470242340999999}
昆明,北京,{'weight': 0.0464488821899999}
上海,厦门,{'weight': 0.04638743073}
天津,秦皇岛,{'weight': 0.0463382434799999}
龙岩,泉州,{'weight': 0.0463337649899999}
揭阳,汕尾,{'weight': 0.0456901049699999}
北京,潍坊,{'weight': 0.0453433504499999}
合肥,杭州,{'weight': 0.0451094961599999}
沧州,唐山,{'weight': 0.0445610046599999}
扬州,无锡,{'weight': 0.04432724514}
石家庄,秦皇岛,{'weight': 0.0437974492499999}
东莞,肇庆,{'weight': 0.0434955581999999}
通化,白山,{'weight': 0.0429486186599999}
上海,福州,{'weight': 0.04289693256}
济南,上海,{'weight': 0.0420823665899999}
梅州,揭阳,{'weight': 0.0419272831799999}
扬州,常州,{'weight': 0.0415524078899999}
