dep_city,arr_city,number
北京,廊坊,33465
北京,保定,10446
北京,天津,7957
北京,张家口,4036
北京,承德,2358
北京,沧州,1920
北京,唐山,1834
北京,石家庄,1719
北京,邯郸,1664
北京,衡水,1139
天津,廊坊,11588
天津,北京,10695
天津,沧州,5544
天津,唐山,5495
天津,保定,1693
天津,德州,1001
天津,邯郸,1000
天津,石家庄,667
天津,衡水,632
天津,滨州,618
石家庄,邢台,10743
石家庄,保定,8914
石家庄,衡水,4458
石家庄,邯郸,2937
石家庄,沧州,2417
石家庄,北京,2142
石家庄,廊坊,1232
石家庄,天津,681
石家庄,张家口,452
石家庄,唐山,452
唐山,天津,5873
唐山,秦皇岛,3029
唐山,北京,2668
唐山,承德,1535
唐山,廊坊,1139
唐山,沧州,607
唐山,保定,541
唐山,石家庄,343
唐山,葫芦岛,176
唐山,张家口,167
秦皇岛,唐山,3306
秦皇岛,葫芦岛,918
秦皇岛,北京,746
秦皇岛,天津,455
秦皇岛,承德,303
秦皇岛,廊坊,187
秦皇岛,沧州,108
秦皇岛,保定,90
秦皇岛,沈阳,89
秦皇岛,锦州,75
邯郸,邢台,8312
邯郸,安阳,3605
邯郸,聊城,2463
邯郸,濮阳,2197
邯郸,石家庄,2067
邯郸,北京,875
邯郸,衡水,483
邯郸,保定,472
邯郸,长治,358
邯郸,天津,346
邢台,石家庄,10417
邢台,邯郸,7234
邢台,聊城,2760
邢台,衡水,2696
邢台,北京,768
邢台,保定,624
邢台,德州,616
邢台,沧州,451
邢台,晋中,427
邢台,济南,294
保定,北京,14897
保定,石家庄,7682
保定,廊坊,5589
保定,沧州,5044
保定,衡水,2722
保定,天津,1804
保定,邢台,648
保定,忻州,627
保定,张家口,619
保定,邯郸,592
张家口,北京,6113
张家口,大同,1236
张家口,乌兰察布,1091
张家口,锡盟,857
张家口,保定,848
张家口,承德,407
张家口,廊坊,351
张家口,天津,309
张家口,石家庄,299
张家口,呼和浩特,249
承德,北京,3105
承德,唐山,1668
承德,赤峰,767
承德,廊坊,427
承德,张家口,391
承德,秦皇岛,369
承德,朝阳,349
承德,天津,331
承德,锡盟,305
承德,保定,161
沧州,天津,5811
沧州,廊坊,5064
沧州,保定,4529
沧州,德州,3897
沧州,衡水,3686
沧州,北京,2349
沧州,滨州,1660
沧州,石家庄,1632
沧州,唐山,576
沧州,邢台,540
廊坊,北京,44906
廊坊,天津,11777
廊坊,保定,5626
廊坊,沧州,5293
廊坊,唐山,1002
廊坊,石家庄,830
廊坊,衡水,608
廊坊,邯郸,466
廊坊,张家口,357
廊坊,承德,329
衡水,石家庄,4219
衡水,沧州,3980
衡水,德州,3720
衡水,邢台,2790
衡水,保定,2292
衡水,北京,1205
衡水,邯郸,625
衡水,天津,570
衡水,廊坊,455
衡水,聊城,213
太原,晋中,10194
太原,吕梁,7720
太原,忻州,3505
太原,长治,1766
太原,临汾,1293
太原,大同,808
太原,阳泉,684
太原,朔州,654
太原,晋城,590
太原,运城,496
大同,朔州,3675
大同,张家口,1249
大同,乌兰察布,683
大同,太原,553
大同,保定,470
大同,忻州,424
大同,北京,417
大同,鄂尔多斯,356
大同,呼和浩特,286
大同,天津,80
阳泉,晋中,791
阳泉,太原,601
阳泉,石家庄,521
阳泉,忻州,125
阳泉,吕梁,86
阳泉,邢台,72
阳泉,北京,65
阳泉,保定,60
阳泉,榆林,51
阳泉,邯郸,45
长治,晋城,1670
长治,太原,1051
长治,晋中,700
长治,临汾,549
长治,安阳,532
长治,邯郸,423
长治,吕梁,154
长治,焦作,149
长治,郑州,136
长治,新乡,115
晋城,长治,1897
晋城,焦作,667
晋城,郑州,439
晋城,太原,355
晋城,临汾,319
晋城,新乡,312
晋城,运城,160
晋城,晋中,145
晋城,安阳,117
晋城,洛阳,92
朔州,大同,3815
朔州,太原,640
朔州,忻州,618
朔州,鄂尔多斯,382
朔州,呼和浩特,323
朔州,张家口,159
朔州,保定,148
朔州,乌兰察布,99
朔州,北京,86
朔州,石家庄,49
晋中,太原,9916
晋中,吕梁,2865
晋中,长治,925
晋中,阳泉,726
晋中,临汾,665
晋中,邢台,447
晋中,忻州,378
晋中,石家庄,368
晋中,邯郸,232
晋中,运城,211
运城,临汾,2803
运城,三门峡,1236
运城,渭南,915
运城,西安,547
运城,太原,313
运城,济源,163
运城,郑州,137
运城,延安,122
运城,洛阳,113
运城,晋中,109
忻州,太原,3062
忻州,榆林,1731
忻州,鄂尔多斯,1088
忻州,保定,955
忻州,朔州,627
忻州,石家庄,523
忻州,天津,515
忻州,吕梁,514
忻州,大同,461
忻州,北京,356
临汾,运城,2915
临汾,太原,921
临汾,吕梁,696
临汾,延安,674
临汾,长治,576
临汾,晋中,574
临汾,晋城,264
临汾,渭南,208
临汾,西安,190
临汾,榆林,141
吕梁,太原,6721
吕梁,晋中,2758
吕梁,榆林,1841
吕梁,临汾,669
吕梁,忻州,581
吕梁,长治,212
吕梁,鄂尔多斯,198
吕梁,石家庄,174
吕梁,邢台,123
吕梁,运城,122
呼和浩特,乌兰察布,4690
呼和浩特,鄂尔多斯,4043
呼和浩特,包头,3202
呼和浩特,巴彦淖尔,950
呼和浩特,锡盟,593
