dep_city,arr_city,number
北京,重庆,139071
北京,上海,118850
北京,长沙,76323
北京,廊坊,74466
北京,杭州,67196
天津,北京,56209
天津,重庆,44760
天津,福州,29439
天津,廊坊,22759
天津,长沙,21492
石家庄,保定,32063
石家庄,邢台,27995
石家庄,北京,27294
石家庄,成都,18224
石家庄,邯郸,18010
唐山,天津,20475
唐山,北京,17113
唐山,秦皇岛,9928
唐山,石家庄,8013
唐山,哈尔滨,6393
秦皇岛,北京,12292
秦皇岛,唐山,11856
秦皇岛,哈尔滨,7264
秦皇岛,长沙,6026
秦皇岛,天津,5629
邯郸,邢台,15511
邯郸,北京,13464
邯郸,石家庄,12315
邯郸,安阳,6795
邯郸,保定,4609
邢台,石家庄,25013
邢台,邯郸,14365
邢台,北京,9372
邢台,聊城,4551
邢台,衡水,4523
保定,北京,57486
保定,石家庄,26768
保定,廊坊,10811
保定,沧州,8770
保定,天津,8377
张家口,北京,26147
张家口,保定,4300
张家口,大同,3273
张家口,石家庄,3199
张家口,天津,2570
承德,北京,14798
承德,唐山,4931
承德,石家庄,2705
承德,赤峰,2522
承德,廊坊,2016
沧州,天津,16236
沧州,北京,12831
沧州,廊坊,8502
沧州,保定,8337
沧州,衡水,7410
廊坊,北京,101513
廊坊,天津,23337
廊坊,保定,11449
廊坊,沧州,9163
廊坊,石家庄,5529
衡水,石家庄,10863
衡水,北京,8297
衡水,沧州,7953
衡水,德州,7505
衡水,邢台,4643
太原,晋中,39901
太原,吕梁,22350
太原,忻州,15712
太原,上海,13359
太原,临汾,12129
大同,朔州,9364
大同,太原,4580
大同,北京,4196
大同,张家口,3610
大同,乌兰察布,2600
阳泉,晋中,4517
阳泉,太原,4085
阳泉,石家庄,2497
阳泉,北京,1329
阳泉,成都,988
长治,太原,5161
长治,晋城,4471
长治,晋中,2753
长治,广州,2618
长治,邯郸,1797
晋城,长治,5127
晋城,太原,2884
晋城,郑州,2092
晋城,焦作,2040
晋城,临汾,1468
朔州,大同,8620
朔州,太原,3517
朔州,忻州,2618
朔州,鄂尔多斯,1100
朔州,成都,945
晋中,太原,37894
晋中,吕梁,7570
晋中,临汾,5134
晋中,长治,3984
晋中,阳泉,3906
运城,临汾,9163
运城,太原,5096
运城,深圳,4317
运城,西安,4102
运城,北京,3818
忻州,太原,12933
忻州,榆林,4163
忻州,朔州,2833
忻州,天津,2748
忻州,保定,2612
临汾,运城,9536
临汾,太原,7832
临汾,北京,3898
临汾,晋中,3777
临汾,广州,2634
吕梁,太原,17657
吕梁,晋中,7008
吕梁,榆林,3744
吕梁,北京,2210
吕梁,临汾,1970
呼和浩特,乌兰察布,18274
呼和浩特,包头,17094
呼和浩特,呼伦贝尔,16231
呼和浩特,赤峰,16160
呼和浩特,鄂尔多斯,12655
包头,呼和浩特,14913
包头,鄂尔多斯,8555
包头,上海,8538
包头,巴彦淖尔,7156
包头,乌兰察布,5798
乌海,鄂尔多斯,6171
乌海,阿拉善盟,2389
乌海,巴彦淖尔,1969
乌海,呼和浩特,1713
乌海,银川,1101
赤峰,通辽,7846
赤峰,呼和浩特,4396
赤峰,朝阳,3672
赤峰,北京,3319
赤峰,锡盟,3120
通辽,赤峰,4151
通辽,呼和浩特,4018
通辽,沈阳,3737
通辽,兴安盟,2323
通辽,阜新,1826
鄂尔多斯,榆林,11620
鄂尔多斯,呼和浩特,7615
鄂尔多斯,包头,7497
鄂尔多斯,乌海,5713
鄂尔多斯,巴彦淖尔,3118
呼伦贝尔,呼和浩特,9692
呼伦贝尔,北京,6476
呼伦贝尔,齐齐哈尔,5785
呼伦贝尔,天津,3161
呼伦贝尔,包头,1633
巴彦淖尔,包头,5002
巴彦淖尔,呼和浩特,3767
巴彦淖尔,鄂尔多斯,2895
巴彦淖尔,乌海,1873
巴彦淖尔,北京,1312
乌兰察布,呼和浩特,12778
乌兰察布,包头,3696
乌兰察布,赤峰,2699
乌兰察布,大同,2690
乌兰察布,张家口,2571
兴安盟,白城,3056
兴安盟,呼和浩特,2847
兴安盟,通辽,2625
兴安盟,齐齐哈尔,1791
兴安盟,呼伦贝尔,1455
锡盟,赤峰,3274
锡盟,呼和浩特,3099
锡盟,乌兰察布,2361
锡盟,蚌埠,2052
锡盟,张家口,1900
阿拉善盟,乌海,2015
阿拉善盟,北京,1614
阿拉善盟,银川,1340
阿拉善盟,巴彦淖尔,1216
阿拉善盟,呼和浩特,983
沈阳,上海,35058
沈阳,武汉,28020
沈阳,北京,21251
沈阳,大连,19466
沈阳,郑州,18471
大连,沈阳,22949
大连,上海,14455
大连,长沙,13557
大连,福州,11993
大连,咸阳,10901
鞍山,沈阳,10987
鞍山,辽阳,7922
鞍山,大连,4925
鞍山,营口,4703
鞍山,盘锦,3337
抚顺,沈阳,14913
抚顺,上海,2236
抚顺,宁波,1596
抚顺,大连,1562
抚顺,北京,1286
本溪,沈阳,9208
本溪,丹东,2112
本溪,大连,1534
本溪,郑州,1449
本溪,武汉,1414
丹东,沈阳,6997
丹东,大连,4030
丹东,本溪,2342
丹东,上海,1877
丹东,鞍山,1554
锦州,沈阳,10875
锦州,葫芦岛,6583
锦州,盘锦,5388
锦州,北京,4799
锦州,哈尔滨,3550
营口,大连,7819
营口,沈阳,7442
营口,鞍山,5313
营口,盘锦,3420
营口,西安,1773
阜新,沈阳,5673
阜新,锦州,2778
阜新,朝阳,1889
阜新,通辽,1861
阜新,上海,1214
辽阳,沈阳,10721
辽阳,鞍山,8348
辽阳,大连,2109
辽阳,上海,1360
辽阳,咸阳,1263
盘锦,锦州,4849
盘锦,沈阳,3883
盘锦,营口,3146
盘锦,鞍山,2982
盘锦,北京,2607
铁岭,沈阳,16371
铁岭,四平,3934
铁岭,北京,3323
铁岭,哈尔滨,2437
铁岭,长春,2366
朝阳,赤峰,4529
朝阳,沈阳,4107
朝阳,葫芦岛,1906
朝阳,锦州,1892
朝阳,北京,1472
葫芦岛,沈阳,6412
葫芦岛,锦州,6361
葫芦岛,北京,5472
葫芦岛,秦皇岛,4815
葫芦岛,天津,3927
长春,上海,78140
长春,南京,31819
长春,北京,30292
长春,郑州,29063
长春,四平,24552
吉林,长春,20702
吉林,上海,12300
吉林,北京,7486
吉林,天津,3782
吉林,延边,3778
四平,长春,21600
四平,北京,4145
四平,铁岭,3479
四平,沈阳,3202
四平,哈尔滨,2220
辽源,长春,2628
辽源,通化,2409
辽源,四平,1329
辽源,铁岭,701
辽源,沈阳,616
通化,长春,4052
通化,辽源,2693
通化,白山,2095
通化,沈阳,1796
通化,吉林,1776
白山,上海,3992
白山,长春,2510
白山,通化,2050
白山,延边,810
白山,沈阳,537
白城,长春,5078
白城,松原,3134
白城,兴安盟,3134
白城,齐齐哈尔,1964
白城,通辽,1009
松原,长春,11669
松原,白城,3060
松原,哈尔滨,2111
松原,四平,1636
松原,北京,1507
延边,长春,5233
延边,上海,4177
延边,北京,3508
延边,吉林,2575
延边,青岛,1355
哈尔滨,北京,46518
哈尔滨,绥化,29185
哈尔滨,天津,23882
哈尔滨,青岛,18473
哈尔滨,齐齐哈尔,18446
齐齐哈尔,哈尔滨,13021
齐齐哈尔,呼伦贝尔,5418
齐齐哈尔,大庆,5193
齐齐哈尔,绥化,3935
齐齐哈尔,黑河,3209
牡丹江,哈尔滨,9761
牡丹江,北京,5608
牡丹江,鸡西,3922
牡丹江,青岛,3790
牡丹江,烟台,1974
佳木斯,北京,9185
佳木斯,青岛,8079
佳木斯,哈尔滨,7530
佳木斯,双鸭山,5499
佳木斯,鹤岗,3174
大庆,哈尔滨,14528
大庆,北京,10347
大庆,绥化,10189
大庆,齐齐哈尔,5443
大庆,秦皇岛,3067
伊春,北京,3238
伊春,哈尔滨,2508
伊春,绥化,1653
伊春,佳木斯,1118
伊春,双鸭山,394
鸡西,北京,4132
鸡西,天津,3433
鸡西,哈尔滨,2177
鸡西,青岛,2153
鸡西,牡丹江,2083
鹤岗,佳木斯,2803
鹤岗,哈尔滨,1811
鹤岗,北京,1215
鹤岗,青岛,1120
鹤岗,大连,484
双鸭山,佳木斯,5256
双鸭山,哈尔滨,2718
双鸭山,北京,2682
双鸭山,青岛,802
双鸭山,鸡西,587
七台河,哈尔滨,1777
七台河,北京,1142
七台河,佳木斯,1031
七台河,鸡西,790
七台河,保定,766
绥化,哈尔滨,18979
绥化,大庆,9363
绥化,齐齐哈尔,2739
绥化,北京,2083
绥化,伊春,1601
黑河,哈尔滨,3561
黑河,齐齐哈尔,2416
