arr_city,dep_city,number,time,year,month,day,week,year_month,year_week,weekday
北京,廊坊,34669,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,保定,10350,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,天津,7548,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,张家口,3937,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,承德,2678,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,石家庄,2479,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,唐山,2363,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,沧州,2103,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,邯郸,1988,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,邢台,1297,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,廊坊,10604,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,北京,8402,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,唐山,5467,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,沧州,5440,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,保定,1878,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,德州,1147,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,邯郸,857,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,石家庄,821,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,滨州,683,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,秦皇岛,625,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,邢台,11508,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,保定,7903,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,衡水,4363,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,邯郸,2599,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,北京,2557,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,沧州,2243,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,廊坊,1184,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,天津,977,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,德州,924,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,阳泉,813,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,天津,4697,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,秦皇岛,3189,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,北京,2455,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,承德,1420,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,廊坊,1001,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,沧州,765,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,石家庄,604,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,保定,549,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,张家口,205,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,邢台,179,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,唐山,2932,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,葫芦岛,868,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,北京,596,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,天津,436,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,承德,334,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,廊坊,219,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,石家庄,170,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,沧州,153,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,保定,141,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,沈阳,125,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,邢台,9636,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,安阳,3248,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,石家庄,2567,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,聊城,2089,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,濮阳,1931,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,北京,1654,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,保定,659,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,天津,633,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,衡水,609,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,沧州,474,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,石家庄,11575,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,邯郸,8519,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,聊城,2808,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,衡水,2655,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,北京,1381,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,保定,862,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,德州,826,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,沧州,554,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,天津,423,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,济南,409,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,北京,11770,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,石家庄,8124,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,廊坊,4706,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,沧州,4311,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,衡水,2211,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,天津,1727,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,邢台,875,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,张家口,872,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,忻州,853,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,邯郸,729,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,北京,4184,2017-10-19,2017,10,19,42,2017_10,2017_42,4
