arr_city,dep_city,number,time,year,month,day,week,year_month,year_week,weekday
廊坊,北京,41858,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,北京,11770,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,北京,8402,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,北京,4184,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,北京,2706,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,北京,2557,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,北京,2455,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,北京,2330,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,北京,1654,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,北京,1381,2017-10-19,2017,10,19,42,2017_10,2017_42,4
廊坊,天津,10298,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,天津,7548,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,天津,5257,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,天津,4697,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,天津,1727,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,天津,977,2017-10-19,2017,10,19,42,2017_10,2017_42,4
德州,天津,854,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,天津,633,2017-10-19,2017,10,19,42,2017_10,2017_42,4
衡水,天津,595,2017-10-19,2017,10,19,42,2017_10,2017_42,4
滨州,天津,547,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,石家庄,11575,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,石家庄,8124,2017-10-19,2017,10,19,42,2017_10,2017_42,4
衡水,石家庄,4299,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,石家庄,2567,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,石家庄,2479,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,石家庄,2054,2017-10-19,2017,10,19,42,2017_10,2017_42,4
廊坊,石家庄,1109,2017-10-19,2017,10,19,42,2017_10,2017_42,4
忻州,石家庄,1094,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,石家庄,821,2017-10-19,2017,10,19,42,2017_10,2017_42,4
阳泉,石家庄,613,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,唐山,5467,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,唐山,2932,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,唐山,2363,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,唐山,1351,2017-10-19,2017,10,19,42,2017_10,2017_42,4
廊坊,唐山,968,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,唐山,828,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,唐山,591,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,唐山,437,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,唐山,172,2017-10-19,2017,10,19,42,2017_10,2017_42,4
葫芦岛,唐山,169,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,秦皇岛,3189,2017-10-19,2017,10,19,42,2017_10,2017_42,4
葫芦岛,秦皇岛,846,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,秦皇岛,657,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,秦皇岛,625,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,秦皇岛,291,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,秦皇岛,245,2017-10-19,2017,10,19,42,2017_10,2017_42,4
廊坊,秦皇岛,223,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,秦皇岛,170,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,秦皇岛,144,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沈阳,秦皇岛,111,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,邯郸,8519,2017-10-19,2017,10,19,42,2017_10,2017_42,4
安阳,邯郸,2758,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,邯郸,2599,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,邯郸,1988,2017-10-19,2017,10,19,42,2017_10,2017_42,4
聊城,邯郸,1984,2017-10-19,2017,10,19,42,2017_10,2017_42,4
濮阳,邯郸,1730,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,邯郸,857,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,邯郸,729,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,邯郸,662,2017-10-19,2017,10,19,42,2017_10,2017_42,4
廊坊,邯郸,599,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,邢台,11508,2017-10-19,2017,10,19,42,2017_10,2017_42,4
