arr_city,dep_city,number,time,year,month,day,week,year_month,year_week,weekday
北京,上海,2482,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,成都,2021,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,深圳,1962,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,广州,1655,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,重庆,1230,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,杭州,878,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,昆明,703,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,武汉,525,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,长沙,517,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,西安,514,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,上海,492,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,广州,444,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,重庆,389,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,深圳,319,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,成都,307,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,哈尔滨,219,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,昆明,206,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,武汉,188,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,杭州,188,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,长沙,168,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,上海,328,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,杭州,282,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,深圳,213,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,成都,202,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,昆明,189,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,长春,180,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,广州,168,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,南京,151,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,重庆,142,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,乌鲁木齐,134,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,广州,53,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,上海,43,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,重庆,39,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,成都,32,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,咸阳,32,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,武汉,26,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,昆明,25,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,深圳,24,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,厦门,20,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,哈尔滨,19,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,上海,29,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,广州,26,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,深圳,23,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,成都,21,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,重庆,17,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,石家庄,17,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,郑州,12,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,南昌,10,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,西安,9,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,武汉,9,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,上海,61,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,杭州,48,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,北京,44,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,成都,38,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,厦门,33,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,兰州,27,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,广州,26,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,重庆,21,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,昆明,20,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,沈阳,18,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,上海,53,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,北京,33,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,杭州,29,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,深圳,22,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,成都,16,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,广州,15,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,丽江,14,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,重庆,13,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,昆明,12,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,天津,12,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,上海,71,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,杭州,50,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,深圳,49,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,广州,47,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,昆明,44,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,成都,39,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,乌鲁木齐,33,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,重庆,31,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,厦门,30,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,南京,28,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,上海,64,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,石家庄,60,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,深圳,25,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,沈阳,21,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,成都,21,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,哈尔滨,17,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,广州,16,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,昆明,12,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,杭州,9,2017-10-19,2017,10,19,42,2017_10,2017_42,4
张家口,厦门,8,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,石家庄,129,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,上海,14,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,广州,12,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,重庆,11,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,深圳,11,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,厦门,11,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,武汉,7,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,太原,7,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,成都,6,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,邢台,5,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,广州,38,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,成都,32,2017-10-19,2017,10,19,42,2017_10,2017_42,4
