dep_city,arr_city,number
北京,深圳,2687
北京,上海,2330
北京,成都,1736
北京,广州,1661
北京,重庆,1108
天津,上海,564
天津,广州,461
天津,成都,442
天津,重庆,378
天津,深圳,358
石家庄,上海,256
石家庄,广州,250
石家庄,重庆,241
石家庄,成都,234
石家庄,昆明,182
唐山,广州,127
唐山,上海,76
唐山,重庆,69
唐山,成都,38
唐山,昆明,37
秦皇岛,昆明,46
秦皇岛,上海,41
秦皇岛,重庆,34
秦皇岛,广州,28
秦皇岛,海口,24
邯郸,上海,36
邯郸,成都,35
邯郸,重庆,32
邯郸,北京,28
邯郸,深圳,22
邢台,北京,20
邢台,成都,17
邢台,上海,17
邢台,深圳,15
邢台,重庆,12
保定,上海,66
保定,广州,60
保定,成都,44
保定,重庆,43
保定,深圳,40
张家口,海口,23
张家口,深圳,14
张家口,昆明,9
张家口,成都,9
张家口,上海,9
承德,石家庄,216
承德,广州,19
承德,上海,19
承德,深圳,15
承德,西安,13
沧州,广州,43
沧州,重庆,30
沧州,昆明,24
沧州,三亚,23
沧州,上海,21
廊坊,成都,69
廊坊,广州,66
廊坊,上海,59
廊坊,深圳,49
廊坊,昆明,41
衡水,重庆,18
衡水,昆明,16
衡水,深圳,15
衡水,广州,11
衡水,厦门,7
太原,上海,305
太原,杭州,202
太原,昆明,199
太原,广州,195
太原,成都,191
大同,昆明,25
大同,广州,17
大同,上海,16
大同,天津,15
大同,沈阳,14
阳泉,成都,16
阳泉,昆明,10
阳泉,广州,8
阳泉,重庆,7
阳泉,海口,7
长治,北京,64
长治,上海,37
长治,天津,25
长治,成都,24
长治,广州,19
晋城,广州,9
晋城,海口,8
晋城,珠海,7
晋城,昆明,7
晋城,北京,7
朔州,成都,11
朔州,广州,10
朔州,深圳,9
朔州,海口,6
朔州,天津,5
晋中,上海,45
晋中,成都,34
晋中,北京,32
晋中,杭州,31
晋中,广州,31
运城,北京,64
运城,南京,56
运城,杭州,40
运城,深圳,38
运城,上海,36
忻州,广州,27
忻州,成都,20
忻州,上海,17
忻州,杭州,16
忻州,重庆,12
临汾,杭州,44
临汾,上海,32
临汾,北京,30
临汾,成都,18
临汾,广州,16
吕梁,北京,43
吕梁,海口,35
吕梁,成都,24
吕梁,西安,17
吕梁,上海,15
呼和浩特,北京,384
呼和浩特,赤峰,275
呼和浩特,呼伦贝尔,262
呼和浩特,通辽,198
呼和浩特,天津,160
包头,北京,145
包头,石家庄,85
包头,郑州,80
包头,上海,65
包头,合肥,39
乌海,呼和浩特,29
乌海,北京,27
乌海,昆明,10
乌海,太原,9
乌海,上海,8
赤峰,呼和浩特,276
赤峰,郑州,49
赤峰,杭州,28
赤峰,天津,26
赤峰,包头,24
通辽,呼和浩特,152
通辽,北京,42
通辽,哈尔滨,13
通辽,广州,11
通辽,包头,11
鄂尔多斯,北京,130
鄂尔多斯,成都,67
鄂尔多斯,咸阳,49
鄂尔多斯,西安,47
鄂尔多斯,南京,38
呼伦贝尔,呼和浩特,196
呼伦贝尔,北京,170
呼伦贝尔,天津,55
呼伦贝尔,哈尔滨,28
呼伦贝尔,上海,23
巴彦淖尔,呼和浩特,35
巴彦淖尔,北京,32
巴彦淖尔,广州,25
巴彦淖尔,咸阳,16
巴彦淖尔,深圳,9
乌兰察布,重庆,16
乌兰察布,咸阳,14
乌兰察布,郑州,11
乌兰察布,杭州,9
乌兰察布,西安,7
兴安盟,呼和浩特,74
兴安盟,北京,51
兴安盟,哈尔滨,25
兴安盟,天津,23
兴安盟,深圳,21
锡盟,呼和浩特,107
锡盟,蚌埠,21
锡盟,天津,13
锡盟,重庆,11
锡盟,北京,10
阿拉善盟,广州,23
阿拉善盟,呼和浩特,21
阿拉善盟,北京,21
阿拉善盟,西安,19
阿拉善盟,重庆,13
沈阳,上海,673
沈阳,成都,361
沈阳,北京,270
沈阳,郑州,268
沈阳,深圳,230
大连,上海,682
大连,北京,464
大连,成都,293
大连,天津,264
大连,深圳,251
鞍山,上海,64
鞍山,成都,44
鞍山,北京,39
鞍山,青岛,15
鞍山,郑州,15
抚顺,上海,34
抚顺,南京,14
抚顺,青岛,13
抚顺,深圳,13
抚顺,昆明,13
本溪,成都,30
本溪,郑州,28
本溪,上海,25
本溪,昆明,22
本溪,重庆,19
丹东,上海,46
丹东,北京,19
丹东,深圳,16
丹东,广州,12
丹东,郑州,9
锦州,上海,43
锦州,昆明,28
锦州,武汉,19
锦州,北京,18
锦州,天津,11
营口,上海,29
营口,成都,26
营口,西安,19
营口,深圳,17
营口,广州,13
阜新,上海,22
阜新,郑州,7
阜新,深圳,7
阜新,成都,7
阜新,福州,6
辽阳,上海,26
辽阳,杭州,10
辽阳,北京,10
辽阳,咸阳,9
辽阳,郑州,7
盘锦,成都,14
盘锦,广州,12
盘锦,北京,12
盘锦,上海,11
盘锦,深圳,8
铁岭,北京,17
铁岭,上海,14
铁岭,深圳,11
铁岭,南京,10
