arr_city,dep_city,number,time,year,month,day,week,year_month,year_week,weekday
上海,北京,3020,2017-10-19,2017,10,19,42,2017_10,2017_42,4
成都,北京,2167,2017-10-19,2017,10,19,42,2017_10,2017_42,4
深圳,北京,2131,2017-10-19,2017,10,19,42,2017_10,2017_42,4
广州,北京,1770,2017-10-19,2017,10,19,42,2017_10,2017_42,4
重庆,北京,1381,2017-10-19,2017,10,19,42,2017_10,2017_42,4
杭州,北京,880,2017-10-19,2017,10,19,42,2017_10,2017_42,4
厦门,北京,851,2017-10-19,2017,10,19,42,2017_10,2017_42,4
昆明,北京,848,2017-10-19,2017,10,19,42,2017_10,2017_42,4
长沙,北京,727,2017-10-19,2017,10,19,42,2017_10,2017_42,4
武汉,北京,717,2017-10-19,2017,10,19,42,2017_10,2017_42,4
上海,天津,591,2017-10-19,2017,10,19,42,2017_10,2017_42,4
深圳,天津,321,2017-10-19,2017,10,19,42,2017_10,2017_42,4
武汉,天津,320,2017-10-19,2017,10,19,42,2017_10,2017_42,4
大连,天津,308,2017-10-19,2017,10,19,42,2017_10,2017_42,4
重庆,天津,281,2017-10-19,2017,10,19,42,2017_10,2017_42,4
广州,天津,247,2017-10-19,2017,10,19,42,2017_10,2017_42,4
厦门,天津,243,2017-10-19,2017,10,19,42,2017_10,2017_42,4
杭州,天津,235,2017-10-19,2017,10,19,42,2017_10,2017_42,4
昆明,天津,231,2017-10-19,2017,10,19,42,2017_10,2017_42,4
哈尔滨,天津,224,2017-10-19,2017,10,19,42,2017_10,2017_42,4
上海,石家庄,379,2017-10-19,2017,10,19,42,2017_10,2017_42,4
杭州,石家庄,271,2017-10-19,2017,10,19,42,2017_10,2017_42,4
深圳,石家庄,241,2017-10-19,2017,10,19,42,2017_10,2017_42,4
成都,石家庄,222,2017-10-19,2017,10,19,42,2017_10,2017_42,4
昆明,石家庄,215,2017-10-19,2017,10,19,42,2017_10,2017_42,4
重庆,石家庄,203,2017-10-19,2017,10,19,42,2017_10,2017_42,4
广州,石家庄,178,2017-10-19,2017,10,19,42,2017_10,2017_42,4
南京,石家庄,151,2017-10-19,2017,10,19,42,2017_10,2017_42,4
长春,石家庄,146,2017-10-19,2017,10,19,42,2017_10,2017_42,4
厦门,石家庄,144,2017-10-19,2017,10,19,42,2017_10,2017_42,4
昆明,唐山,43,2017-10-19,2017,10,19,42,2017_10,2017_42,4
上海,唐山,39,2017-10-19,2017,10,19,42,2017_10,2017_42,4
深圳,唐山,28,2017-10-19,2017,10,19,42,2017_10,2017_42,4
重庆,唐山,27,2017-10-19,2017,10,19,42,2017_10,2017_42,4
武汉,唐山,22,2017-10-19,2017,10,19,42,2017_10,2017_42,4
厦门,唐山,21,2017-10-19,2017,10,19,42,2017_10,2017_42,4
成都,唐山,19,2017-10-19,2017,10,19,42,2017_10,2017_42,4
西安,唐山,18,2017-10-19,2017,10,19,42,2017_10,2017_42,4
哈尔滨,唐山,18,2017-10-19,2017,10,19,42,2017_10,2017_42,4
杭州,唐山,17,2017-10-19,2017,10,19,42,2017_10,2017_42,4
