arr_city,dep_city ,number
北京,重庆,139071
北京,上海,118850
北京,长沙,76323
北京,廊坊,74466
北京,杭州,67196
北京,武汉,57063
北京,保定,42165
北京,天津,41675
北京,南昌,39697
北京,哈尔滨,36502
天津,北京,56209
天津,重庆,44760
天津,福州,29439
天津,廊坊,22759
天津,长沙,21492
天津,上海,20773
天津,唐山,18442
天津,沧州,15790
天津,哈尔滨,15464
天津,杭州,10137
石家庄,保定,32063
石家庄,邢台,27995
石家庄,北京,27294
石家庄,成都,18224
石家庄,邯郸,18010
石家庄,哈尔滨,13533
石家庄,重庆,13208
石家庄,衡水,12019
石家庄,沧州,10662
石家庄,上海,8624
唐山,天津,20475
唐山,北京,17113
唐山,秦皇岛,9928
唐山,石家庄,8013
唐山,哈尔滨,6393
唐山,长沙,5537
唐山,保定,5287
唐山,廊坊,4837
唐山,承德,4305
唐山,沧州,3757
秦皇岛,北京,12292
秦皇岛,唐山,11856
秦皇岛,哈尔滨,7264
秦皇岛,长沙,6026
秦皇岛,天津,5629
秦皇岛,葫芦岛,4617
秦皇岛,长春,3830
秦皇岛,株洲,3607
秦皇岛,沈阳,3546
秦皇岛,石家庄,3518
邯郸,邢台,15511
邯郸,北京,13464
邯郸,石家庄,12315
邯郸,安阳,6795
邯郸,保定,4609
邯郸,广州,4149
邯郸,聊城,4012
邯郸,哈尔滨,3779
邯郸,天津,3725
邯郸,濮阳,2714
邢台,石家庄,25013
邢台,邯郸,14365
邢台,北京,9372
邢台,聊城,4551
邢台,衡水,4523
邢台,保定,3142
邢台,成都,2439
邢台,天津,2304
邢台,沧州,1785
邢台,郑州,1434
保定,北京,57486
保定,石家庄,26768
保定,廊坊,10811
保定,沧州,8770
保定,天津,8377
保定,成都,8072
保定,邯郸,4832
保定,衡水,4501
保定,重庆,4495
保定,武汉,4381
张家口,北京,26147
张家口,保定,4300
张家口,大同,3273
张家口,石家庄,3199
张家口,天津,2570
张家口,唐山,2546
张家口,乌兰察布,2203
张家口,廊坊,2036
张家口,锡盟,1754
张家口,成都,1503
承德,北京,14798
承德,唐山,4931
承德,石家庄,2705
承德,赤峰,2522
承德,廊坊,2016
承德,保定,2001
承德,天津,1677
承德,秦皇岛,1538
承德,张家口,1289
承德,朝阳,1185
沧州,天津,16236
沧州,北京,12831
沧州,廊坊,8502
沧州,保定,8337
沧州,衡水,7410
沧州,德州,6853
沧州,石家庄,6698
沧州,唐山,3237
沧州,哈尔滨,3120
沧州,重庆,2996
廊坊,北京,101513
廊坊,天津,23337
廊坊,保定,11449
廊坊,沧州,9163
廊坊,石家庄,5529
廊坊,重庆,5011
廊坊,唐山,4216
廊坊,哈尔滨,4043
廊坊,长沙,3841
廊坊,上海,3446
衡水,石家庄,10863
衡水,北京,8297
衡水,沧州,7953
衡水,德州,7505
衡水,邢台,4643
衡水,保定,4165
衡水,天津,3012
衡水,廊坊,1871
衡水,邯郸,1756
衡水,成都,1417
太原,晋中,39901
太原,吕梁,22350
太原,忻州,15712
太原,上海,13359
太原,临汾,12129
太原,成都,9781
太原,运城,9685
太原,长治,9453
太原,北京,9382
太原,桂林,8332
大同,朔州,9364
大同,太原,4580
大同,北京,4196
大同,张家口,3610
大同,乌兰察布,2600
大同,忻州,2186
大同,鄂尔多斯,1626
大同,呼和浩特,1520
大同,成都,1458
大同,上海,1350
阳泉,晋中,4517
阳泉,太原,4085
阳泉,石家庄,2497
阳泉,北京,1329
阳泉,成都,988
阳泉,忻州,745
阳泉,吕梁,570
阳泉,临汾,507
阳泉,榆林,416
阳泉,福州,392
长治,太原,5161
长治,晋城,4471
长治,晋中,2753
长治,广州,2618
长治,邯郸,1797
长治,北京,1754
长治,临汾,1493
长治,安阳,1353
长治,上海,1160
长治,厦门,1007
晋城,长治,5127
晋城,太原,2884
晋城,郑州,2092
晋城,焦作,2040
晋城,临汾,1468
晋城,广州,1143
晋城,北京,1095
晋城,珠海,1093
晋城,运城,1035
晋城,晋中,986
朔州,大同,8620
朔州,太原,3517
朔州,忻州,2618
朔州,鄂尔多斯,1100
朔州,成都,945
朔州,北京,909
朔州,呼和浩特,716
朔州,张家口,605
朔州,晋中,517
朔州,保定,512
晋中,太原,37894
晋中,吕梁,7570
晋中,临汾,5134
晋中,长治,3984
晋中,阳泉,3906
晋中,运城,3289
晋中,忻州,2696
晋中,北京,2611
晋中,石家庄,2395
晋中,成都,2297
运城,临汾,9163
运城,太原,5096
运城,深圳,4317
运城,西安,4102
运城,北京,3818
运城,昆明,2985
运城,渭南,2897
运城,三门峡,2786
运城,广州,2639
运城,南宁,2146
忻州,太原,12933
忻州,榆林,4163
忻州,朔州,2833
忻州,天津,2748
忻州,保定,2612
忻州,石家庄,2373
忻州,北京,2247
忻州,大同,2212
忻州,鄂尔多斯,2137
忻州,晋中,1752
临汾,运城,9536
临汾,太原,7832
临汾,北京,3898
临汾,晋中,3777
临汾,广州,2634
临汾,西安,2361
临汾,昆明,1868
临汾,吕梁,1812
临汾,杭州,1600
临汾,上海,1526
吕梁,太原,17657
吕梁,晋中,7008
吕梁,榆林,3744
吕梁,北京,2210
吕梁,临汾,1970
吕梁,忻州,1412
吕梁,石家庄,1289
吕梁,运城,866
吕梁,贵阳,823
吕梁,成都,823
呼和浩特,乌兰察布,18274
呼和浩特,包头,17094
呼和浩特,呼伦贝尔,16231
呼和浩特,赤峰,16160
呼和浩特,鄂尔多斯,12655
呼和浩特,重庆,11528
呼和浩特,上海,11349
呼和浩特,巴彦淖尔,10420
呼和浩特,通辽,10001
呼和浩特,杭州,9811
包头,呼和浩特,14913
包头,鄂尔多斯,8555
包头,上海,8538
包头,巴彦淖尔,7156
包头,乌兰察布,5798
包头,杭州,4459
包头,赤峰,3807
包头,南昌,3590
包头,北京,2999
包头,合肥,2390
乌海,鄂尔多斯,6171
乌海,阿拉善盟,2389
乌海,巴彦淖尔,1969
乌海,呼和浩特,1713
乌海,银川,1101
乌海,石嘴山,1081
乌海,包头,1005
乌海,北京,685
乌海,乌兰察布,578
乌海,赤峰,514
赤峰,通辽,7846
赤峰,呼和浩特,4396
赤峰,朝阳,3672
赤峰,北京,3319
赤峰,锡盟,3120
赤峰,杭州,2503
赤峰,承德,2366
赤峰,包头,1960
赤峰,吴忠,1724
赤峰,郑州,1427
通辽,赤峰,4151
通辽,呼和浩特,4018
通辽,沈阳,3737
通辽,兴安盟,2323
通辽,阜新,1826
通辽,北京,1718
通辽,四平,1671
通辽,上海,1485
通辽,长春,1242
通辽,呼伦贝尔,1107
鄂尔多斯,榆林,11620
鄂尔多斯,呼和浩特,7615
鄂尔多斯,包头,7497
鄂尔多斯,乌海,5713
鄂尔多斯,巴彦淖尔,3118
鄂尔多斯,上海,3091
鄂尔多斯,成都,2641
鄂尔多斯,忻州,2122
鄂尔多斯,银川,2120
鄂尔多斯,南京,2081
呼伦贝尔,呼和浩特,9692
呼伦贝尔,北京,6476
呼伦贝尔,齐齐哈尔,5785
呼伦贝尔,天津,3161
呼伦贝尔,包头,1633
呼伦贝尔,哈尔滨,1555
呼伦贝尔,兴安盟,1452
呼伦贝尔,大兴安岭,1047
呼伦贝尔,黑河,945
呼伦贝尔,鄂尔多斯,774
巴彦淖尔,包头,5002
巴彦淖尔,呼和浩特,3767
巴彦淖尔,鄂尔多斯,2895
巴彦淖尔,乌海,1873
巴彦淖尔,北京,1312
巴彦淖尔,阿拉善盟,939
巴彦淖尔,银川,684
巴彦淖尔,乌兰察布,663
巴彦淖尔,哈密,624
巴彦淖尔,张家口,593
乌兰察布,呼和浩特,12778
乌兰察布,包头,3696
乌兰察布,赤峰,2699
乌兰察布,大同,2690
乌兰察布,张家口,2571
乌兰察布,北京,2350
乌兰察布,锡盟,2309
乌兰察布,鄂尔多斯,1779
乌兰察布,巴彦淖尔,1581
乌兰察布,重庆,1549
兴安盟,白城,3056
兴安盟,呼和浩特,2847
兴安盟,通辽,2625
兴安盟,齐齐哈尔,1791
兴安盟,呼伦贝尔,1455
兴安盟,赤峰,1415
兴安盟,北京,1327
兴安盟,长春,876
兴安盟,锡盟,806
兴安盟,天津,677
锡盟,赤峰,3274
锡盟,呼和浩特,3099
锡盟,乌兰察布,2361
锡盟,蚌埠,2052
锡盟,张家口,1900
锡盟,张掖,1540
锡盟,通辽,1277
锡盟,北京,1211
锡盟,包头,874
锡盟,兴安盟,624
阿拉善盟,乌海,2015
阿拉善盟,北京,1614
阿拉善盟,银川,1340
