arr_city,dep_city ,number
北京,重庆,139071
北京,上海,118850
北京,长沙,76323
天津,北京,56209
天津,重庆,44760
天津,福州,29439
石家庄,保定,32063
石家庄,邢台,27995
石家庄,北京,27294
唐山,天津,20475
唐山,北京,17113
唐山,秦皇岛,9928
秦皇岛,北京,12292
秦皇岛,唐山,11856
秦皇岛,哈尔滨,7264
邯郸,邢台,15511
邯郸,北京,13464
邯郸,石家庄,12315
邢台,石家庄,25013
邢台,邯郸,14365
邢台,北京,9372
保定,北京,57486
保定,石家庄,26768
保定,廊坊,10811
张家口,北京,26147
张家口,保定,4300
张家口,大同,3273
承德,北京,14798
承德,唐山,4931
承德,石家庄,2705
沧州,天津,16236
沧州,北京,12831
沧州,廊坊,8502
廊坊,北京,101513
廊坊,天津,23337
廊坊,保定,11449
衡水,石家庄,10863
衡水,北京,8297
衡水,沧州,7953
太原,晋中,39901
太原,吕梁,22350
太原,忻州,15712
大同,朔州,9364
大同,太原,4580
大同,北京,4196
阳泉,晋中,4517
阳泉,太原,4085
阳泉,石家庄,2497
长治,太原,5161
长治,晋城,4471
长治,晋中,2753
晋城,长治,5127
晋城,太原,2884
晋城,郑州,2092
朔州,大同,8620
朔州,太原,3517
朔州,忻州,2618
晋中,太原,37894
晋中,吕梁,7570
晋中,临汾,5134
运城,临汾,9163
运城,太原,5096
运城,深圳,4317
忻州,太原,12933
忻州,榆林,4163
忻州,朔州,2833
临汾,运城,9536
临汾,太原,7832
临汾,北京,3898
吕梁,太原,17657
吕梁,晋中,7008
吕梁,榆林,3744
呼和浩特,乌兰察布,18274
呼和浩特,包头,17094
呼和浩特,呼伦贝尔,16231
包头,呼和浩特,14913
包头,鄂尔多斯,8555
包头,上海,8538
乌海,鄂尔多斯,6171
乌海,阿拉善盟,2389
乌海,巴彦淖尔,1969
赤峰,通辽,7846
赤峰,呼和浩特,4396
赤峰,朝阳,3672
通辽,赤峰,4151
通辽,呼和浩特,4018
通辽,沈阳,3737
鄂尔多斯,榆林,11620
鄂尔多斯,呼和浩特,7615
鄂尔多斯,包头,7497
呼伦贝尔,呼和浩特,9692
呼伦贝尔,北京,6476
呼伦贝尔,齐齐哈尔,5785
巴彦淖尔,包头,5002
巴彦淖尔,呼和浩特,3767
巴彦淖尔,鄂尔多斯,2895
乌兰察布,呼和浩特,12778
乌兰察布,包头,3696
乌兰察布,赤峰,2699
兴安盟,白城,3056
兴安盟,呼和浩特,2847
兴安盟,通辽,2625
锡盟,赤峰,3274
锡盟,呼和浩特,3099
锡盟,乌兰察布,2361
阿拉善盟,乌海,2015
阿拉善盟,北京,1614
阿拉善盟,银川,1340
沈阳,上海,35058
沈阳,武汉,28020
沈阳,北京,21251
大连,沈阳,22949
大连,上海,14455
大连,长沙,13557
鞍山,沈阳,10987
鞍山,辽阳,7922
鞍山,大连,4925
抚顺,沈阳,14913
抚顺,上海,2236
抚顺,宁波,1596
本溪,沈阳,9208
本溪,丹东,2112
本溪,大连,1534
丹东,沈阳,6997
丹东,大连,4030
丹东,本溪,2342
锦州,沈阳,10875
锦州,葫芦岛,6583
锦州,盘锦,5388
营口,大连,7819
营口,沈阳,7442
营口,鞍山,5313
阜新,沈阳,5673
阜新,锦州,2778
阜新,朝阳,1889
辽阳,沈阳,10721
辽阳,鞍山,8348
辽阳,大连,2109
盘锦,锦州,4849
盘锦,沈阳,3883
盘锦,营口,3146
铁岭,沈阳,16371
铁岭,四平,3934
铁岭,北京,3323
朝阳,赤峰,4529
朝阳,沈阳,4107
朝阳,葫芦岛,1906
葫芦岛,沈阳,6412
葫芦岛,锦州,6361
葫芦岛,北京,5472
长春,上海,78140
长春,南京,31819
长春,北京,30292
吉林,长春,20702
吉林,上海,12300
吉林,北京,7486
四平,长春,21600
四平,北京,4145
四平,铁岭,3479
辽源,长春,2628
辽源,通化,2409
辽源,四平,1329
通化,长春,4052
通化,辽源,2693
通化,白山,2095
白山,上海,3992
白山,长春,2510
白山,通化,2050
白城,长春,5078
白城,松原,3134
白城,兴安盟,3134
松原,长春,11669
松原,白城,3060
松原,哈尔滨,2111
延边,长春,5233
延边,上海,4177
延边,北京,3508
哈尔滨,北京,46518
哈尔滨,绥化,29185
哈尔滨,天津,23882
齐齐哈尔,哈尔滨,13021
齐齐哈尔,呼伦贝尔,5418
齐齐哈尔,大庆,5193
牡丹江,哈尔滨,9761
牡丹江,北京,5608
牡丹江,鸡西,3922
佳木斯,北京,9185
佳木斯,青岛,8079
佳木斯,哈尔滨,7530
大庆,哈尔滨,14528
大庆,北京,10347
大庆,绥化,10189
伊春,北京,3238
伊春,哈尔滨,2508
伊春,绥化,1653
鸡西,北京,4132
鸡西,天津,3433
鸡西,哈尔滨,2177
鹤岗,佳木斯,2803
鹤岗,哈尔滨,1811
鹤岗,北京,1215
双鸭山,佳木斯,5256
双鸭山,哈尔滨,2718
双鸭山,北京,2682
七台河,哈尔滨,1777
七台河,北京,1142
七台河,佳木斯,1031
绥化,哈尔滨,18979
绥化,大庆,9363
绥化,齐齐哈尔,2739
黑河,哈尔滨,3561
黑河,齐齐哈尔,2416
黑河,北京,1402
大兴安岭,呼伦贝尔,734
大兴安岭,哈尔滨,384
大兴安岭,黑河,300
上海,重庆,135953
上海,深圳,134326
上海,北京,119547
南京,成都,62326
南京,南宁,29152
南京,深圳,28175
无锡,苏州,43356
无锡,常州,32402
无锡,上海,19004
徐州,宿州,13088
徐州,宿迁,11083
徐州,南京,9165
常州,无锡,30877
常州,南京,13760
常州,镇江,13494
苏州,上海,96102
苏州,无锡,43775
苏州,重庆,30778
南通,上海,19583
南通,苏州,16003
南通,重庆,10907
连云港,临沂,5413
连云港,盐城,5272
连云港,徐州,4500
淮安,南京,10984
淮安,宿迁,7977
淮安,成都,4886
盐城,泰州,8762
盐城,苏州,8660
盐城,南通,8368
扬州,南京,14151
扬州,泰州,10585
扬州,成都,7301
镇江,南京,29414
镇江,常州,15349
镇江,成都,8003
泰州,扬州,10264
泰州,无锡,9903
泰州,盐城,8005
宿迁,徐州,8906
宿迁,淮安,8708
宿迁,南京,6668
杭州,北京,58066
杭州,重庆,38070
杭州,嘉兴,36227
宁波,重庆,33570
宁波,贵阳,25041
宁波,北京,19888
温州,贵阳,40270
温州,北京,25326
温州,重庆,22783
绍兴,杭州,36753
绍兴,宁波,11840
绍兴,贵阳,8626
湖州,杭州,21764
湖州,苏州,8054
湖州,上海,6494
嘉兴,杭州,40503
嘉兴,上海,25363
嘉兴,苏州,12985
金华,贵阳,19975
金华,杭州,19625
金华,怀化,12379
衢州,杭州,7105
衢州,金华,6274
衢州,北京,4015
舟山,宁波,6469
舟山,上海,4908
舟山,广州,3085
台州,贵阳,16370
台州,重庆,10948
台州,北京,9318
丽水,温州,6246
丽水,金华,5441
丽水,杭州,3393
合肥,六安,23098
合肥,成都,16736
合肥,北京,13024
芜湖,合肥,11045
芜湖,马鞍山,7336
芜湖,南京,5404
蚌埠,滁州,7951
蚌埠,合肥,7844
蚌埠,宿州,4493
马鞍山,南京,14397
马鞍山,芜湖,7744
马鞍山,合肥,7592
宿州,徐州,14268
宿州,淮北,11626
宿州,合肥,5358
安庆,合肥,12729
安庆,池州,3486
安庆,重庆,2238
淮南,合肥,10772
淮南,阜阳,4231
淮南,六安,2983
铜陵,芜湖,2210
铜陵,合肥,2026
铜陵,安庆,1631
黄山,成都,6082
黄山,合肥,2998
黄山,北京,2567
宣城,芜湖,4916
宣城,南京,3246
宣城,合肥,3230
池州,合肥,4312
池州,安庆,3651
池州,上海,2196
滁州,南京,18350
滁州,合肥,9078
滁州,蚌埠,8426
淮北,宿州,11052
淮北,亳州,2609
淮北,徐州,2272
阜阳,合肥,11084
阜阳,亳州,8912
阜阳,周口,5842
六安,合肥,26853
六安,上海,4124
六安,阜阳,3099
亳州,阜阳,9545
亳州,合肥,5419
亳州,商丘,3652
福州,重庆,21420
福州,贵阳,12870
福州,天津,11309
厦门,漳州,32503
厦门,泉州,29523
厦门,重庆,27000
漳州,厦门,40614
漳州,泉州,7541
漳州,福州,4804
泉州,厦门,37825
泉州,重庆,17384
泉州,福州,13165
三明,福州,5739
三明,泉州,3376
三明,厦门,3269
莆田,福州,11118
莆田,泉州,8589
莆田,厦门,4967
南平,福州,7258
南平,北京,3771
南平,天津,3175
龙岩,厦门,7574
龙岩,漳州,3534
龙岩,昆明,3070
宁德,福州,11727
宁德,北京,4533
宁德,温州,4037
南昌,北京,20506
南昌,昆明,15932
