arr_city,dep_city,number,time,year,month,day,week,year_month,year_week,weekday
北京,廊坊,26595,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,天津,20750,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,广州,19923,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,成都,18928,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,上海,18812,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,深圳,17649,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,保定,17051,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,武汉,13280,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,长沙,12751,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,南京,12099,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,北京,23618,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,唐山,7477,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,廊坊,6518,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,沧州,5660,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,成都,5485,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,重庆,4615,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,厦门,4604,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,广州,4547,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,上海,3829,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,保定,3720,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,北京,13709,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,保定,10073,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,邢台,8936,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,邯郸,5727,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,广州,5286,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,衡水,3904,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,天津,3754,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,厦门,3382,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,太原,3205,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,沧州,3090,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,天津,7119,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,北京,6975,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,秦皇岛,4483,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,石家庄,2710,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,廊坊,2007,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,沈阳,1645,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,保定,1590,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,哈尔滨,1475,2017-10-19,2017,10,19,42,2017_10,2017_42,4
