dep_city,arr_city,number
北京,廊坊,33003
北京,天津,27583
北京,保定,20462
北京,深圳,19099
北京,成都,17706
天津,北京,37298
天津,唐山,9271
天津,廊坊,8454
天津,沧州,6506
天津,保定,4553
石家庄,北京,15370
石家庄,保定,14750
石家庄,邢台,10977
石家庄,邯郸,9556
石家庄,衡水,4624
唐山,天津,10542
唐山,北京,9881
唐山,秦皇岛,4898
唐山,石家庄,4189
唐山,保定,2853
秦皇岛,北京,7307
秦皇岛,唐山,6051
秦皇岛,天津,3185
秦皇岛,葫芦岛,2938
秦皇岛,哈尔滨,2628
邯郸,北京,6928
邯郸,石家庄,6590
邯郸,邢台,5551
邯郸,安阳,2530
邯郸,保定,2343
邢台,石家庄,9284
邢台,邯郸,5543
邢台,北京,4796
邢台,保定,1347
邢台,聊城,1296
保定,北京,27911
保定,石家庄,12313
保定,天津,4273
保定,廊坊,3277
保定,沧州,2212
张家口,北京,15261
张家口,保定,2030
张家口,石家庄,1551
张家口,天津,1357
张家口,唐山,1315
承德,北京,8148
承德,唐山,2049
承德,赤峰,1226
承德,保定,1007
承德,石家庄,949
沧州,天津,6618
沧州,北京,6263
沧州,石家庄,2746
沧州,衡水,2655
沧州,保定,2234
廊坊,北京,45210
廊坊,天津,8703
廊坊,保定,3564
廊坊,石家庄,2815
廊坊,沧州,2307
衡水,北京,4212
衡水,石家庄,4095
衡水,德州,3177
衡水,沧州,2907
衡水,天津,1335
太原,晋中,25492
太原,忻州,9821
太原,吕梁,8814
太原,临汾,7876
太原,运城,5939
大同,朔州,4187
大同,北京,2387
大同,太原,2348
大同,张家口,1422
大同,乌兰察布,1418
阳泉,晋中,3051
阳泉,太原,2526
阳泉,石家庄,1437
阳泉,北京,789
阳泉,忻州,487
长治,太原,2587
长治,晋城,2010
长治,晋中,1338
长治,邯郸,903
长治,临汾,621
晋城,长治,2311
晋城,太原,1474
晋城,郑州,1240
晋城,焦作,1052
晋城,临汾,892
朔州,大同,3472
朔州,太原,1643
朔州,忻州,1468
朔州,北京,499
朔州,晋中,321
晋中,太原,23999
晋中,临汾,3495
晋中,吕梁,3458
晋中,阳泉,2571
晋中,长治,2402
运城,临汾,4882
运城,太原,3001
运城,西安,2559
运城,渭南,1575
运城,北京,1354
忻州,太原,6446
忻州,榆林,1772
忻州,朔州,1626
忻州,大同,1170
忻州,晋中,1107
临汾,运城,5081
