arr_city,dep_city,number,time,year,month,day,week,year_month,year_week,weekday
廊坊,北京,32591,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,北京,23618,2017-10-19,2017,10,19,42,2017_10,2017_42,4
武汉,北京,23087,2017-10-19,2017,10,19,42,2017_10,2017_42,4
深圳,北京,21998,2017-10-19,2017,10,19,42,2017_10,2017_42,4
上海,北京,21560,2017-10-19,2017,10,19,42,2017_10,2017_42,4
成都,北京,20321,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,北京,20197,2017-10-19,2017,10,19,42,2017_10,2017_42,4
广州,北京,19241,2017-10-19,2017,10,19,42,2017_10,2017_42,4
长沙,北京,15825,2017-10-19,2017,10,19,42,2017_10,2017_42,4
南京,北京,14588,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,天津,20750,2017-10-19,2017,10,19,42,2017_10,2017_42,4
唐山,天津,7119,2017-10-19,2017,10,19,42,2017_10,2017_42,4
廊坊,天津,6591,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,天津,6028,2017-10-19,2017,10,19,42,2017_10,2017_42,4
上海,天津,4820,2017-10-19,2017,10,19,42,2017_10,2017_42,4
厦门,天津,4348,2017-10-19,2017,10,19,42,2017_10,2017_42,4
重庆,天津,4297,2017-10-19,2017,10,19,42,2017_10,2017_42,4
广州,天津,4206,2017-10-19,2017,10,19,42,2017_10,2017_42,4
成都,天津,4177,2017-10-19,2017,10,19,42,2017_10,2017_42,4
武汉,天津,3948,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,石家庄,11890,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,石家庄,10417,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邢台,石家庄,9271,2017-10-19,2017,10,19,42,2017_10,2017_42,4
邯郸,石家庄,6390,2017-10-19,2017,10,19,42,2017_10,2017_42,4
广州,石家庄,4348,2017-10-19,2017,10,19,42,2017_10,2017_42,4
衡水,石家庄,4172,2017-10-19,2017,10,19,42,2017_10,2017_42,4
深圳,石家庄,3495,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,石家庄,3451,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,石家庄,3308,2017-10-19,2017,10,19,42,2017_10,2017_42,4
太原,石家庄,2767,2017-10-19,2017,10,19,42,2017_10,2017_42,4
天津,唐山,7477,2017-10-19,2017,10,19,42,2017_10,2017_42,4
北京,唐山,6338,2017-10-19,2017,10,19,42,2017_10,2017_42,4
秦皇岛,唐山,4408,2017-10-19,2017,10,19,42,2017_10,2017_42,4
石家庄,唐山,2605,2017-10-19,2017,10,19,42,2017_10,2017_42,4
廊坊,唐山,1796,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沧州,唐山,1678,2017-10-19,2017,10,19,42,2017_10,2017_42,4
沈阳,唐山,1420,2017-10-19,2017,10,19,42,2017_10,2017_42,4
保定,唐山,1404,2017-10-19,2017,10,19,42,2017_10,2017_42,4
承德,唐山,1229,2017-10-19,2017,10,19,42,2017_10,2017_42,4
葫芦岛,唐山,998,2017-10-19,2017,10,19,42,2017_10,2017_42,4
